# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
1240.0 2 82.003 93.392 25.773 2.815 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1245.0 2 83.799 96.765 29.872 0.466 -nan(ind) -nan(ind) 1.131e-05 4.265e+10 9.889e+05 2.132e+10 -4.29e+08 -3.754e+05 -2.147e+08 39.5
1250.0 2 84.784 100.948 33.660 1.563 8.446e-05 -nan(ind) 1.15e-05 4.566e+10 1.094e+07 2.283e+10 -4.552e+08 1.378e+06 -2.269e+08 39.5
1255.0 2 85.060 105.836 36.936 3.072 0.0001689 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1260.0 2 84.779 111.279 39.532 3.893 8.446e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1265.0 2 84.135 117.083 41.318 3.899 0 5.752e-06 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1270.0 2 83.349 123.027 42.220 3.014 0 9.985e-06 2.686e-05 2.9e+10 1.74e+07 1.451e+10 -2.51e+08 1.955e+06 -1.245e+08 39.5
1275.0 2 82.662 128.869 42.222 1.223 0.0001194 1.245e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1280.0 2 82.316 134.369 41.374 1.423 8.446e-05 7.436e-06 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1285.0 2 82.531 139.305 39.790 4.809 0.0002069 1.12e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 39.5
1290.0 2 83.496 143.490 37.645 8.760 8.446e-05 -nan(ind) 1.965e-05 5.383e+10 2.006e+08 2.701e+10 -3.64e+08 -1.059e+07 -1.873e+08 39.5
1295.0 2 85.342 146.791 35.163 13.054 -nan(ind) 5.279e-06 0 inf inf inf -inf -inf -inf 39.5
1300.0 2 88.138 149.141 32.596 17.435 -nan(ind) -nan(ind) 1.877e-05 6.083e+10 8.313e+08 3.083e+10 -3.629e+08 -2.243e+07 -1.927e+08 39.5
