#BLTrackFile VirtualDetector/ParyleneN_Foil
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
8.73395 0.206017 -0.9999 -0.302531 3.02962 -12.1492 538.077 -2212 50 1 0 1
-0.0915468 0.233186 -1.0001 -0.0727435 -0.0423132 13.5785 0.914403 -2212 51 1 0 1
-0.00297582 0.690928 -0.9999 -0.224575 0.349459 -12.5282 530.119 -2212 51 1 0 1
-1.4306 4.39332 -1.0001 -0.338492 0.0321336 13.6126 0.915337 -2212 52 1 0 1
-2.35361 3.14902 -0.9999 1.59797 -0.950202 -12.5495 526.017 -2212 52 1 0 1
-3.03345 -1.57078 -1.0001 -0.021906 -0.215913 13.6308 0.915241 -2212 53 1 0 1
-3.70039 -0.892643 -0.9999 -1.34755 -1.52074 -12.2827 536.914 -2212 53 1 0 1
1.95749 -1.09837 -1.0001 0.0865227 -0.163813 13.69 0.913561 -2212 54 1 0 1
1.74922 -0.353107 -0.9999 -0.770168 -0.538537 -12.5107 529.885 -2212 54 1 0 1
2.99172 -1.83386 -1.0001 0.00424006 -0.0323152 13.6453 0.91405 -2212 55 1 0 1
2.68296 -0.72488 -0.9999 -1.66105 -0.783789 -12.5298 526.874 -2212 55 1 0 1
0.663375 2.45349 -1.0001 -0.335302 0.0983353 13.6651 0.913759 -2212 56 1 0 1
-0.291496 2.1377 -0.9999 0.221768 -1.271 -12.5579 527.344 -2212 56 1 0 1
4.77748 3.54418 -1.0001 6.19516e-05 -0.118663 13.614 0.915825 -2212 57 1 0 1
5.90611 3.37989 -0.9999 1.52626 1.73485 -12.2737 536.122 -2212 57 1 0 1
1.30844 -5.60948 -1.0001 0.171879 -0.17175 13.6488 0.913577 -2212 58 1 0 1
1.14784 -4.39332 -0.9999 -1.58661 -1.42667 -12.4063 531.242 -2212 58 1 0 1
1.46871 -0.290984 -1.0001 -0.11941 -0.130749 13.6865 0.913441 -2212 59 1 0 1
2.35096 0.213216 -0.9999 -0.669037 0.817444 -12.7286 520.709 -2212 59 1 0 1
-4.70489 2.82083 -1.0001 0.438216 -0.208303 13.6513 0.913691 -2212 60 1 0 1
-4.34089 4.88046 -0.9999 -2.83429 1.57639 -12.2986 530.471 -2212 60 1 0 1
-0.228569 -2.29662 -1.0001 -0.198728 0.123847 13.6419 0.914012 -2212 61 1 0 1
0.383793 -2.14215 -0.9999 -1.12787 0.34815 -12.5768 527.22 -2212 61 1 0 1
2.36572 -4.65727 -1.0001 0.0177966 0.0458173 13.6157 0.914252 -2212 62 1 0 1
1.36917 -4.15252 -0.9999 -0.570098 -2.19602 -12.3776 531.591 -2212 62 1 0 1
1.54329 -0.98999 -1.0001 -0.0933727 0.100502 13.675 0.913247 -2212 63 1 0 1
1.65671 -0.40052 -0.9999 -0.603634 -0.221799 -12.5288 530.195 -2212 63 1 0 1
1.77437 -2.72931 -1.0001 -0.0788295 0.0384192 13.6463 0.914708 -2212 64 1 0 1
1.78816 -1.54453 -0.9999 -1.58052 -0.121503 -12.5091 528.485 -2212 64 1 0 1
2.35484 -0.17389 -1.0001 -0.228269 -0.0797585 13.6104 0.914397 -2212 65 1 0 1
2.18049 -0.388084 -0.9999 0.323748 -0.912474 -12.4945 530.865 -2212 65 1 0 1
2.65652 0.533517 -1.0001 -0.0380168 -0.0197185 13.6894 0.913367 -2212 66 1 0 1
2.16642 1.34851 -0.9999 -0.611318 -0.767708 -12.5787 527.272 -2212 66 1 0 1
-0.725951 -0.474824 -1.0001 0.0873999 -0.00130354 13.6836 0.913317 -2212 67 1 0 1
-0.891157 -1.14174 -0.9999 0.851461 0.226482 -12.6798 522.914 -2212 67 1 0 1
1.42169 0.093135 -1.0001 0.00397972 -0.155837 13.6808 0.913115 -2212 68 1 0 1
0.600542 0.684937 -0.9999 -0.499842 -0.827328 -12.4907 530.955 -2212 68 1 0 1
4.46129 1.92258 -1.0001 0.302924 -0.0410572 13.6472 0.913372 -2212 69 1 0 1
5.35469 1.00242 -0.9999 1.89709 1.29112 -12.2928 535.159 -2212 69 1 0 1
