           x [mm]           y [mm]           z [mm]         Ex [V/m]         Ey [V/m]         Ez [V/m]
       -20.666675        12.666675       -1053.2687        1301.0269       -1301.0295        1148.5638
       -14.000005        12.666675       -1053.2687        404.38885       -2600.9861         3576.252
        -7.333335        12.666675       -1053.2687       -49.435833       -3022.3464        6058.1992
        -0.666665        12.666675       -1053.2687        49.437901       -3022.3665        6058.1899
         6.000005        12.666675       -1053.2687       -404.36392        -2601.012        3576.3091
        12.666675        12.666675       -1053.2687       -1301.0087       -1301.0085        1148.5842
        19.333345        12.666675       -1053.2687                0                0                0
       -20.666675        19.333345       -1053.2687                0                0                0
       -14.000005        19.333345       -1053.2687                0                0                0
        -7.333335        19.333345       -1053.2687                0                0                0
        -0.666665        19.333345       -1053.2687                0                0                0
         6.000005        19.333345       -1053.2687                0                0                0
        12.666675        19.333345       -1053.2687                0                0                0
        19.333345        19.333345       -1053.2687                0                0                0
       -20.666675       -20.666675       -1046.6021        4656.1587        4656.1587        1763.6342
       -14.000005       -20.666675       -1046.6021         5050.521        14370.775        7392.4951
        -7.333335       -20.666675       -1046.6021        3811.1086        18031.193        21168.062
        -0.666665       -20.666675       -1046.6021       -3811.0979        18031.184        21168.062
         6.000005       -20.666675       -1046.6021       -5050.5425        14370.789        7392.5581
        12.666675       -20.666675       -1046.6021        -4656.147        4656.1763        1763.6602
        19.333345       -20.666675       -1046.6021                0                0                0
       -20.666675       -14.000005       -1046.6021        14370.774         5050.521        7392.4951
       -14.000005       -14.000005       -1046.6021       -955.33923       -955.33923        16840.963
        -7.333335       -14.000005       -1046.6021       -616.88239       -1375.0358        9354.3789
        -0.666665       -14.000005       -1046.6021        616.92926       -1375.0754        9354.4443
         6.000005       -14.000005       -1046.6021        955.38678       -955.33716        16841.016
        12.666675       -14.000005       -1046.6021       -14370.782        5050.5615        7392.5522
        19.333345       -14.000005       -1046.6021                0                0                0
       -20.666675        -7.333335       -1046.6021        18031.191        3811.1089        21168.064
       -14.000005        -7.333335       -1046.6021       -1375.0359       -616.88239        9354.3789
        -7.333335        -7.333335       -1046.6021       -325.15967       -325.15967        6473.8672
        -0.666665        -7.333335       -1046.6021         325.1861       -325.11469        6473.9019
         6.000005        -7.333335       -1046.6021        1375.0708       -616.89069        9354.4062
        12.666675        -7.333335       -1046.6021       -18031.213         3811.114        21168.053
        19.333345        -7.333335       -1046.6021                0                0                0
       -20.666675        -0.666665       -1046.6021        18031.182       -3811.0977        21168.061
       -14.000005        -0.666665       -1046.6021       -1375.0753        616.92926        9354.4443
        -7.333335        -0.666665       -1046.6021       -325.11469         325.1861        6473.9023
        -0.666665        -0.666665       -1046.6021        325.25305        325.25302        6473.8472
         6.000005        -0.666665       -1046.6021        1374.9585        616.88599        9354.4697
        12.666675        -0.666665       -1046.6021       -18031.197       -3811.1228        21168.031
        19.333345        -0.666665       -1046.6021                0                0                0
       -20.666675         6.000005       -1046.6021        14370.789        -5050.542        7392.5576
       -14.000005         6.000005       -1046.6021       -955.33716        955.38672        16841.016
        -7.333335         6.000005       -1046.6021       -616.89069        1375.0707        9354.4053
        -0.666665         6.000005       -1046.6021        616.88599        1374.9585        9354.4697
         6.000005         6.000005       -1046.6021         955.3064        955.30634        16840.939
        12.666675         6.000005       -1046.6021       -14370.782        -5050.561        7392.5449
        19.333345         6.000005       -1046.6021                0                0                0
       -20.666675        12.666675       -1046.6021        4656.1758       -4656.1465        1763.6602
       -14.000005        12.666675       -1046.6021        5050.5615       -14370.782        7392.5527
        -7.333335        12.666675       -1046.6021        3811.1135       -18031.213        21168.053
        -0.666665        12.666675       -1046.6021       -3811.1228       -18031.195        21168.033
         6.000005        12.666675       -1046.6021       -5050.5605       -14370.781        7392.5449
        12.666675        12.666675       -1046.6021       -4656.1577       -4656.1582        1763.6996
        19.333345        12.666675       -1046.6021                0                0                0
       -20.666675        19.333345       -1046.6021                0                0                0
       -14.000005        19.333345       -1046.6021                0                0                0
        -7.333335        19.333345       -1046.6021                0                0                0
        -0.666665        19.333345       -1046.6021                0                0                0
         6.000005        19.333345       -1046.6021                0                0                0
        12.666675        19.333345       -1046.6021                0                0                0
        19.333345        19.333345       -1046.6021                0                0                0
       -20.666675       -20.666675       -1039.9354        7002.3066        7002.3076        483.62854
       -14.000005       -20.666675       -1039.9354         8178.374        21949.332        715.48224
        -7.333335       -20.666675       -1039.9354        10989.534         39736.84        98.095833
        -0.666665       -20.666675       -1039.9354       -10989.525        39736.832        98.098068
         6.000005       -20.666675       -1039.9354       -8178.3853        21949.316        715.45459
        12.666675       -20.666675       -1039.9354       -7002.2998        7002.2983        483.62283
        19.333345       -20.666675       -1039.9354                0                0                0
       -20.666675       -14.000005       -1039.9354        21949.332         8178.375        715.48218
       -14.000005       -14.000005       -1039.9354       -2605.3157       -2597.0127        647.49438
        -7.333335       -14.000005       -1039.9354       -898.26233       -2660.0364        2899.1567
        -0.666665       -14.000005       -1039.9354        898.29895       -2660.0134        2899.1458
         6.000005       -14.000005       -1039.9354        2596.8403       -2605.1555        647.49738
        12.666675       -14.000005       -1039.9354       -21949.322        8178.3955        715.45081
        19.333345       -14.000005       -1039.9354                0                0                0
       -20.666675        -7.333335       -1039.9354        39736.836        10989.533         98.09584
       -14.000005        -7.333335       -1039.9354       -2660.0364       -898.26233        2899.1567
        -7.333335        -7.333335       -1039.9354       -719.70337       -719.70331        3736.3582
        -0.666665        -7.333335       -1039.9354        719.75916       -719.65509        3736.2546
         6.000005        -7.333335       -1039.9354        2660.0027       -898.24152        2899.1423
        12.666675        -7.333335       -1039.9354       -39736.816        10989.526        98.095444
        19.333345        -7.333335       -1039.9354                0                0                0
       -20.666675        -0.666665       -1039.9354        39736.832       -10989.525        98.098053
       -14.000005        -0.666665       -1039.9354       -2660.0134        898.29889         2899.146
        -7.333335        -0.666665       -1039.9354       -719.65515        719.75909        3736.2544
        -0.666665        -0.666665       -1039.9354        719.74677        719.74677        3736.2546
         6.000005        -0.666665       -1039.9354        2660.0032        898.28064        2899.0977
        12.666675        -0.666665       -1039.9354        -39736.82       -10989.514        98.094048
        19.333345        -0.666665       -1039.9354                0                0                0
       -20.666675         6.000005       -1039.9354        21949.316       -8178.3848        715.45459
       -14.000005         6.000005       -1039.9354       -2596.9053        2605.2222        647.49811
        -7.333335         6.000005       -1039.9354       -898.24152        2660.0024        2899.1423
        -0.666665         6.000005       -1039.9354        898.28064        2660.0034        2899.0977
         6.000005         6.000005       -1039.9354        2605.1177        2596.7878         647.4881
        12.666675         6.000005       -1039.9354       -21949.379       -8178.4961        715.46057
        19.333345         6.000005       -1039.9354                0                0                0
       -20.666675        12.666675       -1039.9354        7002.2983       -7002.2998        483.62283
       -14.000005        12.666675       -1039.9354         8178.396       -21949.322        715.45087
        -7.333335        12.666675       -1039.9354        10989.526        -39736.82        98.095444
        -0.666665        12.666675       -1039.9354       -10989.514       -39736.824        98.093903
         6.000005        12.666675       -1039.9354       -8178.4966       -21949.377        715.46057
        12.666675        12.666675       -1039.9354       -7002.2925       -7002.2925        483.60571
        19.333345        12.666675       -1039.9354                0                0                0
       -20.666675        19.333345       -1039.9354                0                0                0
       -14.000005        19.333345       -1039.9354                0                0                0
        -7.333335        19.333345       -1039.9354                0                0                0
        -0.666665        19.333345       -1039.9354                0                0                0
         6.000005        19.333345       -1039.9354                0                0                0
        12.666675        19.333345       -1039.9354                0                0                0
        19.333345        19.333345       -1039.9354                0                0                0
       -20.666675       -20.666675       -1033.2687        7297.8228        7297.8232        44.658691
       -14.000005       -20.666675       -1033.2687        7962.6279        22015.145        34.722916
        -7.333335       -20.666675       -1033.2687        10874.482        39532.887        1.1639866
        -0.666665       -20.666675       -1033.2687       -10874.471        39532.871        1.1640337
         6.000005       -20.666675       -1033.2687       -7962.6489        22015.133        34.720806
        12.666675       -20.666675       -1033.2687       -7297.8018        7297.8018        44.648888
        19.333345       -20.666675       -1033.2687                0                0                0
       -20.666675       -14.000005       -1033.2687        22015.145        7962.6274        34.722919
       -14.000005       -14.000005       -1033.2687       -736.26874       -740.48267        125.46851
        -7.333335       -14.000005       -1033.2687       -330.09647       -989.46948        774.27313
        -0.666665       -14.000005       -1033.2687        330.11731       -989.46466        774.27783
         6.000005       -14.000005       -1033.2687        740.38605       -736.16583        125.46676
        12.666675       -14.000005       -1033.2687       -22015.145        7962.6655        34.715168
        19.333345       -14.000005       -1033.2687                0                0                0
       -20.666675        -7.333335       -1033.2687        39532.883        10874.482        1.1639866
       -14.000005        -7.333335       -1033.2687       -989.46948       -330.09644        774.27319
        -7.333335        -7.333335       -1033.2687       -389.13782       -389.13779        1445.2268
        -0.666665        -7.333335       -1033.2687        389.16507       -389.13412        1445.2126
         6.000005        -7.333335       -1033.2687        989.48108       -330.11743        774.25891
        12.666675        -7.333335       -1033.2687       -39532.871        10874.479        1.1640546
        19.333345        -7.333335       -1033.2687                0                0                0
       -20.666675        -0.666665       -1033.2687        39532.871       -10874.471        1.1640337
       -14.000005        -0.666665       -1033.2687       -989.46466        330.11734        774.27783
        -7.333335        -0.666665       -1033.2687       -389.13412        389.16507        1445.2126
        -0.666665        -0.666665       -1033.2687        389.16132        389.16135        1445.1952
         6.000005        -0.666665       -1033.2687        989.44751        330.08859        774.28558
        12.666675        -0.666665       -1033.2687       -39532.875       -10874.464        1.1641121
        19.333345        -0.666665       -1033.2687                0                0                0
       -20.666675         6.000005       -1033.2687        22015.131       -7962.6494        34.720806
       -14.000005         6.000005       -1033.2687          -740.38        736.17169        125.46677
        -7.333335         6.000005       -1033.2687       -330.11743        989.48114        774.25891
        -0.666665         6.000005       -1033.2687        330.08859        989.44751        774.28558
         6.000005         6.000005       -1033.2687        736.18042        740.39386        125.44593
        12.666675         6.000005       -1033.2687       -22015.188       -7962.7568        34.720318
        19.333345         6.000005       -1033.2687                0                0                0
       -20.666675        12.666675       -1033.2687        7297.8018       -7297.8022        44.648895
       -14.000005        12.666675       -1033.2687        7962.6655       -22015.145        34.715164
        -7.333335        12.666675       -1033.2687        10874.479       -39532.871        1.1640548
        -0.666665        12.666675       -1033.2687       -10874.465       -39532.871        1.1641126
         6.000005        12.666675       -1033.2687       -7962.7568       -22015.188         34.72031
        12.666675        12.666675       -1033.2687       -7297.8042       -7297.8042        44.647736
        19.333345        12.666675       -1033.2687                0                0                0
       -20.666675        19.333345       -1033.2687                0                0                0
       -14.000005        19.333345       -1033.2687                0                0                0
        -7.333335        19.333345       -1033.2687                0                0                0
        -0.666665        19.333345       -1033.2687                0                0                0
         6.000005        19.333345       -1033.2687                0                0                0
        12.666675        19.333345       -1033.2687                0                0                0
        19.333345        19.333345       -1033.2687                0                0                0
       -20.666675       -20.666675       -1026.6021        7318.5005        7318.5005        2.7123251
       -14.000005       -20.666675       -1026.6021        7943.5605        22018.467        1.7548133
        -7.333335       -20.666675       -1026.6021        10872.056        39529.824      0.033393104
        -0.666665       -20.666675       -1026.6021       -10872.043         39529.82      0.033330973
         6.000005       -20.666675       -1026.6021       -7943.5815        22018.455        1.7556666
        12.666675       -20.666675       -1026.6021       -7318.4868        7318.4854        2.7103872
        19.333345       -20.666675       -1026.6021                0                0                0
       -20.666675       -14.000005       -1026.6021        22018.469        7943.5605        1.7548132
       -14.000005       -14.000005       -1026.6021        -277.6326       -278.74734        31.526539
